ComplaintType;Complaint;Date;Decision;Report_name
Suo-Motu Cognizance;Suo-motu cognizance taken against targeting of journalists for reporting during the COVID-19 period in Uttar Pradesh. ;22-01-2021;Proceedings dropped upon taking note of statement of police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance taken against targeting of journalists for reporting during the COVID-19 period in Uttar Pradesh. ;22-01-2021;Proceedings dropped upon taking note of statement of police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu action taken against the management of Deccan Chronicle Holdings limited. ;22-01-2021;Proceedings dropped with observations;AnnualReport2021
Suo-Motu Cognizance;Suo motu action taken against targeting of journalists for reporting during the COVID-19 period in Himachal Pradesh. ;22-01-2021;Proceedings dropped being sub-judice;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regards to manhandle of journalist in Kanker, Chhattisgarh. ;22-01-2021;Proceedings dropped being sub-judice;AnnualReport2021
Curtailment of the Press Freedom;Complaint of President, Press Association, President, Press Club of India, General Secretary, INPC and President, Foreign Correspondent Club, New Delhi against Ministry of Finance, Govt. of India, New Delhi. ;16-02-2021;Disposed of with recommen- dation that the merit of the case be examined by the Ministry of Finance afresh;AnnualReport2021
Curtailment of the Press Freedom;Complaint of Shri Ashok Malik, President, NUJ (India), Shri Manohar Singh, President, Delhi Journalists Association, Shri Rajeev Ranjan Nag, President, Indian Federation of Working Journalist against Ministry of Finance. ;16-02-2021;Disposed of with recommen- dation that the merit of the case be examined by the Ministry of Finance afresh;AnnualReport2021
Harassment of Newsmen;Complaint of Ms. Sarvesh, Freelancer Photo-Journalist, New Delhi against Acharya Mridulkant Shastri, Mathura, Uttar Pradesh. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Kamal Shukla, Patrakaar Suraksha Kanoon Sanyukt Sangharsh Samiti, Kanker against the Government of Chhattisgarh. ;26/9/2018;Sub-judice;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Abhishek Awasthi, Journalist, Dainik Patrika against Police Authorities, Vidish, M.P. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Anoop Saxena, Correspondent, Nai Duniya Rajgarh, M.P against Shri M.B. Ojha, Collector, Vidisha, M.P. ;26/9/2018;Proceedings Dropped;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Vaidhya Ramesh Chandra, Editor, Vashisth Times, Bisagarpara- Baikunthpur, Koria, Chattisgarh against Police Authorities. ;26/9/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Nilesh Kumar Jain, Editor, Jabalpur Express, Sivani, M.P. against Police Authorities of M.P. ;26/9/2018;Dropped being sub-judice;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Sunil Jain Kalakar, Chief Editor, Dainik Achran, Ashoknagar, M.P against Shri Akhilesh Jain, SDO and Shri P.K. Singh, CMO, Bhopal, M.P. ;26/9/2018;Dropped being sub-judice;AnnualReport2019
Harassment of Newsmen;Complaint of Shivnaresh Pandey, Chief Editor, Ekta Hamari Prachin Parampara Hai, Deoria, U.P. against Government of U.P. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Homesh Mishra, Local Editor, U.P. News 24 Channel, Hathras, U.P against Khanan Mafia and Police Authorities. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Ramnaresh Yadav, Editor, Desh ke kamere, Unnav, U.P against the President, Unnav Bar Association & Shri Shushil Kr. Shukla, Unnav, U.P. ;26/9/2018;Disposed of with direction;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Kanhiyalal Vishwakarma, Chief Editor, Bundelkhand Chentna, Lalitpur, (Uttar Pradesh) against Shri Charnadas, Lalitpur, Uttar Pradesh. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Radheyshyam Dubey, Editor, Awadh Nagri, Basti, Uttar Pradesh against Shri Shailendra Mani Tripathi and others, Uttar Pradesh. ;26/9/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Dr. Fal Kumar Panwar, B Chief, Dainik Shah Times and Prime News Channal, Muzaffarnagar, U.P. against Smt. Rashmi Saini, Principal/Warden, Kasturba Gandhi, Budhana, Muzaffarnagar, U.P. ;26/9/2018;Disposed of with direction;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Alok Kumar Singh, Journalist, Jan Sandesh Times, Barabanki (U.P) against Police Authorities. ;26/9/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Dinesh Kumar Pandey, Reporter, Roj ki Khabar, Kharguchandpur, Gonda, Uttar Pradesh against Police Authorites. ;26/9/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Anil Kasyap, District Bureau Chief, Dainik Bhavya Prabhat, Hathras, U.P. against Shri Mohit Verma, Hathras, U.P. & Police Authorties. ;26/9/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Mohd. Karimullha Bureau Chief, Madhubani, Bihar against Mohd. Samior Rehman, Madhubani, Bihar. ;15/11/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Shri Surender Kumar Gupta, Editor, clue Times, Modinagar, Ghaziabad against Police Authorities. ;15/11/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Shri Aasif Khan, Editor, Aam Aawaj, Shahdara, Delhi against Delhi Police Authorities. ;15/11/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Sh. Manas Kumar Behra, Journalist, Asian News International, Odisha against police authorities. ;15/11/2018;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Sh. Sushil Kumar Singh, Editor, Quick Times Magazine, Barabanki against Railway Police Force. ;15/11/2018;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Ashroba Kedare, E d i t o r, K r i p a v a n t We e k l y, Parbhani, Maharashtra against The Executive Engineer, Public Works Department, Parbhani. ;15/2/2019;Disposed of;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Harish Chandak, Editor, Barmer Kesari,Barmar, Rajasthan against police-authorities. ;15/2/2019;Disposed of being sub- judice;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Ashok Dubey, Editor, Asha Darpan, Mumbai, Maharashtra against land-mafia and police authorities. ;15/2/2019;Dismissed;AnnualReport2019
Harassment of Newsmen;Complaint of Shri Ramakant Patil, President Palghar District Press Association, Palghar, Maharashtra against the police authorities. ;15/2/2019;Disposed of with direction;AnnualReport2019
Facilities to the Press;Complaint of Shri Uttam Chandra Sharma, Chief Editor, Muzaffarnagar Bulletin, Muzaffarnagar, U.P. against the Director, I&PRD, Govt. of U.P., Lucknow. ;26/9/2018;Proceedings Dropped;AnnualReport2019
Facilities to the Press;Complaint of Shri Satish Kumar Arya,National Organization Minister, Saharanpur, U.P against the Deputy Director, Information, Saharanpur, U.P. ;26/9/2018;Disposed of;AnnualReport2019
Facilities to the Press;Complaint of Shri Mir Farook Ali, Editor-in-Chief, Adsah Daily (Urdu), Secunderabad against Information & Public Relations Department, Government of Telangana, Hyderabad. ;15/11/2018;Disposed of;AnnualReport2019
Facilities to the Press;Complaint of Shri D.D. Mittal, State President, Lead India Publishers Association (LIPA), Dehradun against Govt. of Uttrakhand & DAVP. ;15/11/2018;Disposed of;AnnualReport2019
Facilities to the Press;Shri Umashankar Mishra, Editor, U.S.M. Patrika and Sach Ka Saya, Ghaziabad (U.P) against the Director General, Directorate of Advertising & Visual Publicity (DAVP), New Delhi.;15/11/2018;Disposed of;AnnualReport2019
Facilities to the Press;Complaint of Choudhary Amar Singh Johri, Reporter, Akhiri Koshish, Panipat against Haryana Government. ;15/11/2018;Dismissed;AnnualReport2019
Facilities to the Press;Complaint of Shri Ramcharan Mali, Chief Editor, Vanvasi Express, Rajasthan against I&PRD, Govt. of Rajasthan, Jaipur. ;15/2/2019;Disposed of with direction;AnnualReport2019
Facilities to the Press;Complaint of Smt. Komal Sapra, Editor, Baran Patrika, Baran, Rajasthan against the Deputy Director, Information & Public Relations, Baran, Rajasthan. ;15/2/2019;Disposed of;AnnualReport2019
Suo-Motu Cognizance;Complaint of Shri G.H. Kaloo, President, Jammu & Kashmir Press Association Srinagar against Police Authorities. ;26/9/2018;Disposed of with direction;AnnualReport2019
Suo-Motu Cognizance;Suo-motu cognizance w.r.t. assault on photo journalists by Tata Group Security Guards at Mumbai. ;26/9/2018;Proceedings dropped;AnnualReport2019
Suo-Motu Cognizance;Suo-motu cognizance with regard to attack on a journalist Shri N. Nagarjuna Reddy in Prakasam District (Andhra Pradesh). ;26/9/2018;Proceedings dropped;AnnualReport2019
Suo-Motu Cognizance;Suo-motu cognizance with regard to the arrest of Prabhat Singh, journalist. ;26/9/2018;Dropped being sub-judice;AnnualReport2019
Suo-Motu Cognizance;Suo-motu cognizance with regard to attack on a Senior Journalist Ms. Malini Subramaniam in Bastar, Chattisgarh. ;26/9/2018;Proceedings dropped;AnnualReport2019
